ID_Req,Fonte,Cláusula,Módulo,Test_Cases,Status,Observação
REQ-BCG-01,IN 2026 §1,BCG: recomendar para 0a a 4a11m29d sem dose prévia,app/expert_system/regras/bcg.py — regra_bcg_recomendar,"BCG-01, BCG-02, BCG-03, BCG-04, INV-10",Coberto,
REQ-BCG-02,IN 2026 §1,BCG: contraindicar ≥5a sem dose prévia,app/expert_system/regras/bcg.py — regra_bcg_contraindicar,"BCG-05, BCG-08",Coberto,
REQ-HEPB-01,IN 2026 §2,Hepatite B: D1 ao nascer; D2 (2m); D3 (6m),app/expert_system/regras/hepatite_b.py,HEPB-01..HEPB-07,Coberto,
REQ-HEPB-02,IN 2026 §2,Hepatite B: recomendar adulto sem esquema completo,app/expert_system/regras/hepatite_b.py — regra_hepb_adulto_recomendar,"HEPB-08, HEPB-09",Coberto,
REQ-PENTA-01,IN 2026 §3,"Penta: D1 (2m), D2 (4m), D3 (6m); contraindicar ≥7a",app/expert_system/regras/penta_dtp.py — RegrasPentaDTP,"PENTA-01..PENTA-10, PENTA-11, PENTA-12",Coberto,
REQ-DTP-01,IN 2026 §3,"DTP: R1 (15m), R2 (4a); contraindicar ≥7a sem Penta completa",app/expert_system/regras/penta_dtp.py — RegrasPentaDTP,PENTA-05..PENTA-09,Coberto,
REQ-VIP-01,IN 2026 §4,"VIP (Poliomielite): D1 (2m), D2 (4m), D3 (6m), Reforço (15m); CI ≥5a",app/expert_system/regras/vip.py,VIP-01..VIP-10,Coberto,
REQ-ROTA-01,IN 2026 §5,Rotavírus: D1 ≤3m15d de vida; D2 ≤7m29d; CI após limite etário,app/expert_system/regras/rotavirus.py,ROTA-01..ROTA-06,Coberto,Limite VL: D1 contraindicada com >105 dias de vida (3m15d)
REQ-PNEUMO10-01,IN 2026 §6,"Pneumo10: D1 (2m), D2 (4m), Reforço (12m); dose única catch-up 1a–4a11m",app/expert_system/regras/pneumo10.py,P10-01..P10-10,Coberto,
REQ-MEN-01,IN 2026 §7,"Meningocócica C: D1 (3m), D2 (5m), Reforço (12m); ACWY catch-up adolescentes",app/expert_system/regras/meningo.py,MEN-01..MEN-08,Coberto,
